Municipios,Total plazas,Total habitaciones,Plazas por habitación
ALARÓ,218,111,1.9639639639639639
ALCÚDIA,27999,12949,2.1622519113445056
ALGAIDA,211,106,1.990566037735849
ANDRATX,4270,2038,2.095191364082434
ARIANY,104,46,2.260869565217391
ARTÀ,776,374,2.0748663101604277
BANYALBUFAR,296,149,1.9865771812080537
BINISSALEM,84,42,2.0
BUNYOLA,268,134,2.0
BÚGER,22,11,2.0
CALVIÀ,61982,29848,2.076588046100241
CAMPANET,228,96,2.375
CAMPOS,869,411,2.1143552311435525
CAPDEPERA,19453,9571,2.0324939922683107
CONSELL,50,25,2.0
COSTITX,45,19,2.3684210526315788
DEIÀ,475,240,1.9791666666666667
ESCORCA,10,5,2.0
ESPORLES,219,111,1.972972972972973
ESTELLENCS,153,77,1.9870129870129871
FELANITX,6142,2764,2.2221418234442836
FORNALUTX,147,68,2.161764705882353
INCA,159,80,1.9875
LLORET DE VISTALEGRE,58,25,2.32
LLOSETA,63,28,2.25
LLUBÍ,48,24,2.0
LLUCMAJOR,13959,6979,2.0001432870038687
MANACOR,15504,7531,2.0586907449209932
MANCOR DE LA VALL,22,11,2.0
MARIA DE LA SALUT,120,58,2.0689655172413794
MARRATXÍ,34,17,2.0
MONTUÏRI,217,109,1.9908256880733946
MURO,16934,7323,2.312440256725386
PALMA,52136,26681,1.9540496982871707
PETRA,131,54,2.425925925925926
POLLENÇA,7723,3621,2.132836233084783
PORRERES,254,125,2.032
PUIGPUNYENT,186,91,2.043956043956044
SA POBLA,113,58,1.9482758620689655
SANT JOAN,80,38,2.1052631578947367
SANT LLORENÇ DES CARDASSAR,26522,12620,2.1015847860538828
SANTA EUGÈNIA,12,6,2.0
SANTA MARGALIDA,13528,6728,2.0107015457788346
SANTA MARIA DEL CAMÍ,133,64,2.078125
SANTANYÍ,17037,7750,2.1983225806451614
SELVA,382,189,2.0211640211640214
SENCELLES,153,66,2.3181818181818183
SES SALINES,4098,2010,2.038805970149254
SINEU,149,71,2.0985915492957745
SON SERVERA,11854,5464,2.1694729136163984
SÓLLER,3556,1743,2.040160642570281
VALLDEMOSSA,336,163,2.061349693251534
VILAFRANCA DE BONANY,88,43,2.046511627906977
